Formula, something, somethingelse,Formula_mono_iso_wt_nat
C17H14F3N3O2S,12,15,384.0669867
C17H24O4,12,15,292.1674593
C21H20NO4+,12,15,351.1357194
C17H24O5,12,15,308.1623739
C17H24O6,12,15,324.1572885
C7H15O10P,12,15,290.0402832
C17H24O9,12,15,372.1420324
C30H24O6,12,15,480.1572885
C7H5NS2,12,15,167.9833754
C25H34O10,12,15,494.2151973
C14H20ClNO2,12,15,270.1152915
C33H46O7,12,15,554.3243538
C3H10N3O3S+,12,15,171.034843
C18H24O,12,15,256.1827154
C25H34O11,12,15,510.2101119
C30H24O9,12,15,528.1420324
C33H46O8,12,15,570.3192685
C25H34O13,12,15,542.1999412
C33H46O9,12,15,586.3141831
C25H34O14,12,15,558.1948558
C35H60N2O4+2,12,15,574.4482811
C12H17N2O4P,12,15,286.0866633
C44H54N4O16,12,15,898.3416213
C12H20N2O,12,15,210.1516331
CH3O5P,12,15,125.9718097
C13H19NO2,12,15,222.1386138
C20H21N7O7,12,15,478.1294903
C13H19NO3,12,15,238.1335284
C15H16O,12,15,212.1201151
C13H8F2O3,12,15,250.0441505
C56H78N4O6,12,15,906.5802758
C24H31N7O6,12,15,520.212826
C3H4Cl2F2O,12,15,163.9607266
C6H10N3O4P,12,15,222.031997
C36H49N5O8S,12,15,716.3153587
C24H31O9-,12,15,463.1973562
C62H114N2O23,12,15,1256.775308
C8H14N2O5S,12,15,252.056412
C7H19N3,12,15,148.1490023
C14H16N2O2,12,15,246.1152476
C25H21N3O2,12,15,398.1544816
C14H16N2O3,12,15,262.1101622
C16H16N2O3S,12,15,318.0822329
C35H32MgN4O5,12,15,616.2104516
C14H16N2O6,12,15,310.094906
C22H18N2O4,12,15,376.1207269
C14H16N2O7,12,15,326.0898207
C14H16N2O8,12,15,342.0847353
C27H28O5,12,15,432.193674
C18H26N2O4,12,15,336.1833271
C6H12F2N2O2,12,15,184.0807538
C18H20N2,12,15,266.1567184
C27H28O6,12,15,448.1885886
C58H84CoN16O11+,12,15,1255.535758
C22H18N2O9,12,15,456.0953
C24H33NO4,12,15,400.2379934
C26H28N2O5,12,15,450.1938918
C19H22KN3O4S,12,15,430.0879135
C32H57N5O9,12,15,660.4008029
C14H33N10O7PS,12,15,526.1695496
C10H10N2,12,15,160.0784681
C22H29N3S2,12,15,402.171394
C20H24N8O6,12,15,480.1581597
C35H44N4O16,12,15,780.263371
C3H9NO,12,15,76.06544881
C10H13N3O5S,12,15,290.0486959
C14H10MgO6,12,15,298.03278
C10H14N5O10PS,12,15,432.0050734
C6H14FO3P,12,15,184.066459
C18H20O2,12,15,268.1463299
C19H25ClN2,12,15,318.1646963
C18H33ClN2O5S,12,15,426.1739404
C18H20O3,12,15,284.1412445
C16H22O10,12,15,374.1212969
C16H22O11,12,15,390.1162115
C18H20O4,12,15,300.1361591
