Formula, something, somethingelse,Formula_mono_iso_wt_nat
C23H22O5,13,15,401.2238851
C23H22O6,13,15,417.2187997
C23H22O7,13,15,433.2137143
C22H24ClFN4O3,13,15,472.2140426
C26H44O9,13,15,526.3857588
C18H22O5S,13,15,368.1791816
C34H56N4O24,13,15,942.4306528
C42H38O20,13,15,904.3365468
C11H16N4O2,13,15,251.1523686
C5H7N3O5,13,15,197.0464492
C48H80O18,13,15,992.695498
C11H11N4NaO3S,13,15,317.0699984
C11H16N4O4,13,15,283.1421978
C11H16N4O5,13,15,299.1371124
C12H16N2,13,15,202.1656764
C16H24FNO,13,15,282.2349049
C5H10NO7P,13,15,233.0332973
C24H39N8O18P3S,13,15,884.188382
C8H6N2O,13,15,156.0689213
C11H6Cl2N2,13,15,249.0217766
C7H11N,13,15,117.1096681
C16H14ClN3O,13,15,318.1273219
C12H5Cl5O,13,15,351.9185614
C36H54O,13,15,538.5382405
C41H69N7O8,13,15,835.6375548
C95H146O28,13,15,1830.318774
C40H44N4O+2,13,15,640.472748
C12H5Cl5,13,15,335.9236468
C51H84O22,13,15,1099.716521
C5H12N2O3S,13,15,187.0677069
C51H84O23,13,15,1115.711436
C12H16O2,13,15,204.1552878
C25H32O13,13,15,565.2681621
C25H32O14,13,15,581.2630767
C12H16O3,13,15,220.1502024
C24H51NO7P+,13,15,521.4173169
C12H16O4,13,15,236.1451171
C12H16O6,13,15,268.1349463
C12H16O7,13,15,284.1298609
C59H96O27,13,15,1295.811833
C59H96O29,13,15,1327.801663
C13H17NO2,13,15,233.1665766
C28H50O,13,15,430.4801017
C13H17NO3,13,15,249.1614912
C13H17NO4,13,15,265.1564058
C15H16N2O6S2,13,15,401.08937
C9H12N2O,13,15,175.1192263
C9H12N2S,13,15,191.0963824
C19H39N5O7,13,15,473.333865
C10H13O10P,13,15,334.0581815
C27H40O2,13,15,423.3934111
C15H12N2O2,13,15,269.13427
C27H40O3,13,15,439.3883258
C15H18Cl3NO,13,15,349.0927548
C15H12N2O3,13,15,285.1291846
C41H65NO10,13,15,773.5954306
C27H40O4,13,15,455.3832404
C27H40O6,13,15,487.3730696
C18H28N6O,13,15,368.275056
C21H41N5O7,13,15,501.3562248
C21H41N5O8,13,15,517.3511394
C19H22N2O2,13,15,331.2259397
C19H22N2O3,13,15,347.2208543
C2H5AsO5,13,15,185.9420043
C8H12ClN7O,13,15,272.0852687
CH4N2O2,13,15,79.02470201
C45H75NO17,13,15,947.6515026
C42H72O14,13,15,842.6331102
C28H47N5O18,13,15,774.3707197
C13H13N5O5S2,13,15,401.0645973
C4H10N2O2,13,15,124.0817167
C4H10N2O3,13,15,140.0766313
C33H47N5O8S,13,15,711.4104183
C35H44N2O10,13,15,689.4110848
C11H21N,13,15,179.2013378
C33H68,13,15,497.6428118
C45H74N7O20P3S,13,15,1209.52243
C5H9NO2,13,15,121.0771376
C6H2Cl2O4,13,15,213.953143
C13H10ClN3O4S2,13,15,387.0148425
C5H9NO3,13,15,137.0720522
C5H9NO4,13,15,153.0669669
C5H9NO5,13,15,169.0618815
C16H11ClN4,13,15,314.1090411
C29H40N8O5,13,15,617.3857359
C11H14NO4P,13,15,267.0999826
C20H28N10O21P4,13,15,898.0755397
C9H23NO3PS+,13,15,266.1403057
C7H14O,13,15,121.1279489
C24H14O11,13,15,502.1341274
C17H30N2O12S,13,15,505.2030472
C13H12O2,13,15,213.1273425
C13H12O3,13,15,229.1222571
C16H14F3N5O,13,15,370.1538966
C13H12O4,13,15,245.1171718
C11H22O,13,15,181.2039685
C19H25N3O8,13,15,445.2190114
C41H71NO4,13,15,683.672893
C13H12O8,13,15,309.0968303
C27H36O15,13,15,627.2960011
C43H73O6P,13,15,759.6587346
C26H31Cl2N5O3,13,15,562.2527956
C8H13N3O4S,13,15,258.08062
C9H12NO6P,13,15,271.0674521
C14H22N2O,13,15,250.2142509
C11H14NO6+,13,15,268.1155017
C12H25NaO4S,13,15,300.1773827
C30H27O13+,13,15,625.2452625
C14H21NO11,13,15,394.1554631
C42H72O36,13,15,1194.521232
C10H15N4O13P3,13,15,506.0065341
C36H46N16Na4O21S6,13,15,1374.167178
C6H6O2S,13,15,148.0289792
C18H21N5O5,13,15,410.1998304
CH3NO2,13,15,63.01676808
C15H18N4O5,13,15,353.1661818
C27H35N9O15P2,13,15,823.2366792
C10H12N4O4S,13,15,298.0796135
C33H50N4O6S,13,15,667.4439553
C11H14NO6P,13,15,299.0898118
C26H35NO4,13,15,452.3408693
C19H23N4O6PS,13,15,489.1594732
C23H16O5,13,15,395.1769349
C26H38O4,13,15,440.3642355
C10H18N5O20P5,13,15,697.9420434
C6H8N2O4S2,13,15,244.0067469
C33H42N4O6,13,15,627.4092843
C29H42N7O18P3S,13,15,937.2285224
C28H44N7O17P3S,13,15,910.245903
C64H67O41+,13,15,1555.529938
C18H26N4O23P4,13,15,812.0423559
C10H12N4O5S,13,15,314.0745282
C14H14N6O3,13,15,334.1419154
C6H8N2O2S,13,15,180.044847
C20H32F2O5,13,15,410.2888773
C17H30O2,13,15,283.2816125
C11H20NO12P,13,15,401.1062497
C17H30O7,13,15,363.2561856
C22H38O4Zn,13,15,452.2799627
C10H10ClNO2,13,15,222.0705896
C20H22Cl2N2O6,13,15,478.1466584
C16H24N2O17P2,13,15,596.1027676
C8H8,13,15,112.089439
C30H30O8,13,15,548.2947131
C33H58N7O17P3S,13,15,989.3722276
C33H52O9,13,15,625.4718429
C19H23N3,13,15,315.2440444
C64H67O42+,13,15,1571.524852
C40H44N4O16,13,15,880.3975645
C16H26N2O,13,15,280.2522607
C13H21ClN4O2S,13,15,349.1391268
C6H6O4S,13,15,180.0188084
C3H2F6O,13,15,171.0110484
C27H42N7O19P3S,13,15,927.2167273
C37H65NO14,13,15,785.5616697
C26H44N7O18P3S,13,15,900.2341079
C44H52N8O10,13,15,904.5045319
C88H95Cl2N9O33,13,15,1972.809472
C18H12,13,15,246.1542875
C6H6N2O2,13,15,146.0571263
C6H6N2O3,13,15,162.0520409
C32H42O12,13,15,650.3749816
C12H11Cl2NO,13,15,268.0590623
C32H42O16,13,15,714.3546401
C40H36O11,13,15,732.3599555
C8H12N2O2,13,15,178.1107861
C40H36O12,13,15,748.3548701
C12H18N4O7P2S,13,15,440.0655403
C8H12N2O3,13,15,194.1057008
C32H47F5O3S,13,15,638.4239619
C8H12N2O4,13,15,210.1006154
C18H31N3O13P2,13,15,580.1847029
C17H23NO3,13,15,307.2218607
C17H23NO4,13,15,323.2167754
C9H11N2O8P,13,15,317.0495652
C82H58O52,13,15,1956.464509
C20H27NO3,13,15,350.2632254
C20H27NO5,13,15,382.2530546
C12H10Cl2F3NO,13,15,324.0464469
C27H34O3,13,15,433.3413756
C43H58O18,13,15,905.5065731
C6H6O5S,13,15,196.013723
C20H27NO7,13,15,414.2428839
C30H45N6O16P,13,15,812.3458204
C27H34O9,13,15,529.3108633
C11H19N5S,13,15,269.158194
C11H14NO9P,13,15,347.0745557
C12H10OS2,13,15,246.0575644
C50H83O4P,13,15,828.7706396
C9H9N2NaO3,13,15,227.0753502
C22H46NO7P,13,15,490.3720307
C7H5NO3,13,15,159.0474618
C7H5NO4,13,15,175.0423764
C6H8ClN3O4S2,13,15,293.9757086
C14H19N5O6S,13,15,404.1377463
C17H28N2O15P2,13,15,581.1475933
C10H14N2O2,13,15,206.1331459
C10H14N2O3,13,15,222.1280605
C10H14N2O4,13,15,238.1229751
C10H14N2O5,13,15,254.1178897
C10H14N2O6,13,15,270.1128044
C12H16O12,13,15,364.104434
C6H9N3O2,13,15,164.0807103
C23H50N2O5P+,13,15,490.4164167
C22H26N2O2,13,15,374.2673043
C22H26N2O3,13,15,390.2622189
C22H26N2O4,13,15,406.2571336
C14H24N2O7,13,15,348.1993887
C9H16N3O13P3,13,15,479.0108954
C8H15N3O4,13,15,228.1241994
C14H24N2O9,13,15,380.1892179
C15H12O,13,15,223.1391376
C8H15N3O7,13,15,276.1089432
C26H36N2O3,13,15,452.3538886
C37H70O5,13,15,631.6464544
C28H58O,13,15,438.5427019
C28H29N2O12-,13,15,615.2606032
C13H21N3O,13,15,251.2031799
C9H11ClO3,13,15,211.0698655
C20H32N8O5,13,15,492.2929421
C16H28O2,13,15,268.2626075
C66H75Cl2N9O24,13,15,1522.624933
C11H13ClN2,13,15,221.1076991
C16H28O7,13,15,348.2371807
C10H13ClN2O3S,13,15,288.0611589
C6H3Cl3,13,15,185.9501623
C31H24O10,13,15,587.240947
C3FeN3,13,15,139.9453333
C23H32N6O6S2,13,15,581.2418448
